,Smiles,MTB Standardized Residuals,Scaffold
75,[N-]=[N+]=N[C@@H]1CCCC2=CC=CC=C21,0.9546733563963604,c1ccc2c(c1)CCCC2
76,[N-]=[N+]=NC1CC2=CC=CC=C2C1,0.9391853495686876,c1ccc2c(c1)CCC2
77,[N-]=[N+]=NC1=CC=CC=C1NC2=CC=CC=C2,-0.7834414834414485,c1ccc(Nc2ccccc2)cc1
78,NC([C@@H](C1=CC=CC=C1)N=[N+]=[N-])=O,0.5743879797194384,c1ccccc1
79,[N-]=[N+]=NC1(CC1)C2=CC=CC=C2,1.102636281675035,c1ccc(C2CC2)cc1
80,CC1=C(N=[N+]=[N-])C=CC=C1C(OC)=O,1.170041287578509,c1ccccc1
81,OC(CC1=CC=CC(N=[N+]=[N-])=C1)=O,0.9071568515960078,c1ccccc1
82,CN(C)CC1=CC=C(N=[N+]=[N-])C=C1,1.058826664599369,c1ccccc1
83,CCC1=CC(N=[N+]=[N-])=CC=C1,1.086329756349388,c1ccccc1
84,FC(F)(F)C1=CC=C(CN=[N+]=[N-])C=N1,1.019652889375416,c1ccncc1
85,FC1=CC=C(OCCN=[N+]=[N-])C=C1,1.032895807640603,c1ccccc1
86,COC(CC1=CC=C(N=[N+]=[N-])C=C1)=O,0.971314347296206,c1ccccc1
87,OC(CC1=CC=C(N=[N+]=[N-])C=C1)=O,1.024840341652448,c1ccccc1
88,O=C(N(CC1)C[C@@H]1N=[N+]=[N-])OCC2=CC=CC=C2,-0.8533828648824854,O=C(OCc1ccccc1)N1CCCC1
89,O=C(NC1=CC(N=[N+]=[N-])=CC=C1)C2=CC=CC=C2,-1.172928497317379,O=C(Nc1ccccc1)c1ccccc1
90,CC(NC1=CC=CC(N=[N+]=[N-])=C1)=O,-0.5509605701632971,c1ccccc1
91,[N-]=[N+]=NCC1=NC=CC=N1,-0.5169900546385041,c1cncnc1
92,CC(N=[N+]=[N-])C1=CC=C(OC)C=C1,0.7431833492590805,c1ccccc1
93,CCOC1=CC=CC=C1CN=[N+]=[N-],0.990930694310086,c1ccccc1
94,FC(F)OC1=CC=C(CN=[N+]=[N-])C=C1,1.056372607659793,c1ccccc1
95,[N-]=[N+]=NCCC1=CC([N+]([O-])=O)=CC=C1,-1.891314874681111,c1ccccc1
96,C[C@H](N=[N+]=[N-])C1=NC=C(N1)C2=CC=CC=C2,-0.939660784724036,c1ccc(-c2cnc[nH]2)cc1
97,FC1=C(C(N)=O)C=C(N=[N+]=[N-])C=C1,-0.1342400068662776,c1ccccc1
98,CC1=C(SC=N1)CCN=[N+]=[N-],-1.231314968770929,c1cscn1
99,FC1=CC=CC(C2(CC2)N=[N+]=[N-])=C1,0.8562305499398293,c1ccc(C2CC2)cc1
100,ClC1=CC=C(CCCCN=[N+]=[N-])C=C1,0.9435094135863198,c1ccccc1
101,CC1=CSC(C(C)N=[N+]=[N-])=N1,0.8983699179488804,c1cscn1
102,O=C(OC)C1=CC=CC(CN=[N+]=[N-])=C1,0.7253713314317127,c1ccccc1
103,O=C([C@H](N=[N+]=[N-])CO)OCC1=CC=CC=C1,-1.069825386393193,c1ccccc1
104,CC1=CC=C(CN=[N+]=[N-])S1,0.815928396313005,c1ccsc1
105,O[C@H]1[C@H]([C@@H](C[C@@H]1CO)N=[N+]=[N-])O,0.5036334560481315,C1CCCC1
106,BrC1=CN=C(CN=[N+]=[N-])C=C1,-0.7744012326837849,c1ccncc1
107,ClC1=NC=CN=C1CN=[N+]=[N-],-1.08317410777744,c1cnccn1
108,CC(N=[N+]=[N-])C1=CC(OCCO2)=C2C=C1,-0.7269421492767694,c1ccc2c(c1)OCCO2
109,CC(N=[N+]=[N-])C1=NC2=C(N1)C=CC=C2,0.3746381987459245,c1ccc2[nH]cnc2c1
110,CC1=CC(CN=[N+]=[N-])=NO1,-0.2274692386860316,c1cnoc1
111,CC1=NN(CCN=[N+]=[N-])C(C)=C1,-1.59781832209744,c1cn[nH]c1
112,[N-]=[N+]=NCC1=CSC=N1,-0.9493345149576564,c1cscn1
113,CS(C1=CC=CC=C1CN=[N+]=[N-])(=O)=O,-1.8348781401429,c1ccccc1
114,N#CC1=C(F)C=C(CN=[N+]=[N-])C=C1,-1.173901475680464,c1ccccc1
115,CC(C)(N=[N+]=[N-])C1=CC(F)=CC(F)=C1,0.8488468144960273,c1ccccc1
116,[N-]=[N+]=NCC1=CSC=C1,0.8127169246736873,c1ccsc1
117,ClC1=CC=C(C2(CC2)CN=[N+]=[N-])C=C1,0.8079924928887537,c1ccc(C2CC2)cc1
118,O[C@H]1[C@@H](CCC1)N=[N+]=[N-],0.1474628580969436,C1CCCC1
119,[N-]=[N+]=N[C@H](C1)[C@@H]1C2=CC=CC=C2,0.6334991962757061,c1ccc(C2CC2)cc1
120,CC1=NN(C)C(CN=[N+]=[N-])=C1,-0.9568364999484692,c1cn[nH]c1
121,COC1=CC=CC(OCCCN=[N+]=[N-])=C1,-1.992391230277793,c1ccccc1
122,CCN1C=C(CN=[N+]=[N-])C=N1,-1.237952618696906,c1cn[nH]c1
123,BrC1=CN=CC(CN=[N+]=[N-])=C1,-1.587795778060287,c1ccncc1
124,OC1=CC=CC(CCN=[N+]=[N-])=C1,-2.697876260994188,c1ccccc1
125,FC1=C(F)C(F)=CC(CN=[N+]=[N-])=C1,-0.0467249643311604,c1ccccc1
126,ClC1=CC=C(C(C)(C)CN=[N+]=[N-])C=C1,0.6429955966964581,c1ccccc1
127,[N-]=[N+]=NCC1=NC=CS1,-0.7424049621783638,c1cscn1
128,CC(N=[N+]=[N-])C1=CC=CS1,0.1102803666452806,c1ccsc1
129,[N-]=[N+]=NCC1=CN=CS1,0.8909452423617268,c1cscn1
130,CCOC(C1=CC=NC(CN=[N+]=[N-])=C1)=O,0.4501144148262428,c1ccncc1
131,FC1=CC=CC(C(C)N=[N+]=[N-])=C1,0.547447242987842,c1ccccc1
